Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
489,666,124,9.688940048217773,10000,489,375,1032.1046420180342,38.703924075676284,3.0,3.0,6.66,6.017009,5.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.0022714562,0.001866164,0.0023738132,-0.0005346036,0.005849349,0.0021214583,0.0017605606,0.0021887317,3.4023193e-05,0.004956078,3.7026122e-05,0.0008474139,0.00010982668,-0.0064106374,0.003100371,0.00223443,0.0017847519,0.002761888,-0.0011939753,0.007078679,1.0101416,0.22072819,0.97455287,0.47687674,1.290104,-0.0004404456,0.0030095098,-9.039074e-05,-0.028549764,0.00503467,7.855704e-06,3.005012e-05,1.3419451e-06,3.522755e-07,0.00041424343,-0.0016050714,4.0692457e-06,-0.0016062646,-0.0016088521,-0.0015860267,1.0119559,0.22134295,0.97585946,0.47743708,1.2899945,0.00022347653,0.00023819969,0.00014734153,2.2306505e-05,0.0016984561,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.87992287,0.68238986,0.7215018,0.054705616,3.7440474,1.6050714,0.0040692436,1.6062646,1.5860267,1.608852,4.978275,0.020119073,4.9841623,4.884522,4.997072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76,8077,249,20.12315797805786,20000,565,750,958.3851964028565,35.93944486510712,3.0,3.0,80.77,148.73526,7.5,1.0,500.0,-0.01,0.09949875,0.0,-1.0,0.0,0.01,0.09949875,0.0,0.0,1.0,-0.00034846165,0.0034671496,0.0,-0.034846164,0.0,-2.9850746e-05,0.0002970112,0.0,-0.0029850747,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.31368777,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,498.12,18.605528,500.0,313.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.024466285,0.044113703,0.02598155,-0.17105143,0.07843367,0.0009493672,0.0009757911,0.0005883258,0.00024285047,0.0046906406,0.023509527,0.045503594,0.02544187,-0.17738353,0.07907508,0.0009567589,0.012024592,0.0012958437,-0.12442491,0.028647166,0.85210973,0.13710961,0.85320586,0.57838947,1.4164906,-0.0006080701,0.012827767,-0.0011345597,-0.032408014,0.13299188,0.00041341077,0.0039826552,1.149126e-05,6.0843365e-07,0.04787782,-0.0013515479,7.5673146e-05,-0.0013284239,-0.0015897779,-0.0012773118,0.8525791,0.13309297,0.85639304,0.5764409,1.2351164,0.0010767569,0.0004764629,0.00096476957,0.00033630902,0.0031442028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4861692,0.5969332,1.391459,0.43778118,3.492783,1.3515478,0.07567314,1.3284237,1.2773118,1.5897778,3.8759947,0.31599566,3.775586,3.5869899,4.902835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,17773,374,32.95661640167236,30000,589,1125,779.2131840002901,29.220494400010878,3.0,3.0,177.73,211.54182,45.5,1.0,500.0,-0.02,0.14,0.0,-1.0,0.0,0.02,0.14,0.0,0.0,1.0,-0.0015241614,0.012167435,0.0,-0.11756998,0.0,-7.6579716e-05,0.00054918294,0.0,-0.004672897,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.5117617,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,495.21,34.172592,500.0,210.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.060528953,0.044916365,0.07468974,-0.16428709,0.10766908,0.0009526808,0.00040642964,0.00087725103,0.00031349823,0.0024431602,0.060202204,0.04627298,0.07360044,-0.18438947,0.10777076,0.0003267502,0.013138204,0.00086733775,-0.13845691,0.020572592,0.72441715,0.10347932,0.71224284,0.5104122,1.246473,-0.00021235312,0.013912578,-0.00086789776,-0.020572592,0.14995913,0.00042552312,0.004222462,1.2974585e-05,1.3454913e-06,0.053539485,-0.001332758,1.7247454e-05,-0.0013322707,-0.0013847903,-0.001304196,0.72374797,0.097497046,0.71415126,0.5104612,1.0714903,0.0017887646,0.0007635066,0.0016566357,0.0006011043,0.0048863203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8576901,0.95638716,1.6483425,0.4470455,8.138741,1.3327578,0.017247453,1.3322706,1.3041959,1.3847902,3.7923744,0.06587442,3.7897766,3.6847267,3.9956508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,27859,499,45.86577081680298,40000,612,1500,774.6440764763925,29.049152867864716,3.0,3.0,278.59,221.37057,314.5,1.0,500.0,-0.04,0.19595918,0.0,-1.0,0.0,0.04,0.19595918,0.0,0.0,1.0,-0.0022685365,0.013672535,0.0,-0.11756998,0.0,-0.00013506724,0.00068585813,0.0,-0.004672897,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.7622991,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,492.18,41.734016,500.0,210.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.08373845,0.038919132,0.089633204,-0.10960494,0.14150771,0.0012788738,0.000643383,0.0011524033,0.00028371153,0.004418512,0.08374498,0.041109495,0.08921454,-0.12717126,0.13984331,-6.525293e-06,0.016644655,0.00091070903,-0.12651098,0.05973971,0.5732602,0.18478887,0.5933643,0.1592713,1.0801502,0.000115315444,0.017420966,-0.00091395655,-0.059918374,0.13529149,0.00079415704,0.0052638794,3.069051e-05,2.8229413e-06,0.0493958,-0.0012194087,0.00012877135,-0.0012006348,-0.0013761785,-0.0009998034,0.5711156,0.17998019,0.59323525,0.1615759,1.063663,0.0024544836,0.0012314277,0.0022026603,0.00046576557,0.008837024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.056268,1.0605553,1.8757149,0.3028423,6.5818634,1.2194086,0.12877136,1.2006347,0.9998034,1.3761784,3.4138308,0.43613926,3.32244,2.7177567,3.9604506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,37322,624,58.190467834472656,50000,635,1875,811.3789722914239,30.426711460928395,3.0,3.0,373.22,185.63878,500.0,1.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.0029053953,0.014973381,0.0,-0.11756998,0.0,-0.00017143087,0.00076908217,0.0,-0.004672897,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8124039,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,489.81,47.547176,500.0,210.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.128995,0.04022341,0.11964198,0.030459678,0.22395329,0.0017215557,0.0008459382,0.0016546309,0.00033396794,0.004526728,0.1288977,0.0400886,0.11950846,0.016725544,0.22150831,9.728441e-05,0.013035288,9.779292e-05,-0.124331094,0.021437677,0.5579428,0.12975977,0.5470591,0.29784292,1.0079454,-1.6879121e-05,0.013702487,-0.000117547854,-0.021443019,0.13292901,0.00045581284,0.0036249207,6.723253e-05,5.2472333e-06,0.0442186,-0.0013250959,3.7270667e-05,-0.0013295062,-0.0013780629,-0.0012198115,0.5555301,0.1252321,0.5442423,0.29421487,0.8891884,0.0032989024,0.0016478605,0.0031424921,0.0006612587,0.009053456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.427315,1.3429773,2.0757277,0.5904626,7.903524,1.3250958,0.03727067,1.3295062,1.2198114,1.3780628,3.765329,0.1382427,3.779345,3.3893287,3.9673584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,42866,749,70.903329372406,60000,655,2250,786.6049645991533,29.49768617246825,3.0,3.0,428.66,153.26157,500.0,1.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.0030094562,0.015228975,0.0,-0.11756998,0.0,-0.0001739426,0.000778618,0.0,-0.004672897,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.8519977,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,489.72,47.889057,500.0,210.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.122390635,0.041695047,0.13041231,-0.014889705,0.18594944,0.0015102043,0.00096109725,0.0012575004,0.00023438921,0.0054322137,0.12303363,0.04181168,0.13249905,-0.022162214,0.18890053,-0.00064298953,0.00861905,-0.00067590363,-0.07631825,0.015322521,0.5170541,0.13910072,0.5055794,0.23777698,0.91155547,0.000744784,0.00947947,0.00067354867,-0.015360053,0.0890797,0.0003661394,0.0029636784,3.9691302e-05,1.9876609e-06,0.035364706,-0.0013156441,5.4128144e-05,-0.001326345,-0.0013738021,-0.0011893932,0.51434565,0.13722506,0.5043769,0.2365353,0.8883006,0.0029131696,0.0018905305,0.0023132176,0.00046877848,0.010917637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4457476,1.1569672,2.2703006,0.3522421,6.6441493,1.315644,0.05412814,1.326345,1.1893932,1.3738021,3.7326016,0.19585995,3.7672665,3.2850914,3.9508958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,44753,874,83.93653798103333,70000,677,2625,767.2707696384534,28.772653861442002,3.0,3.0,447.53,136.31995,500.0,1.0,500.0,-0.06,0.23748685,0.0,-1.0,0.0,0.06,0.23748685,0.0,0.0,1.0,-0.008123175,0.06203704,0.0,-0.61729014,0.0,-0.0003538178,0.0021233493,0.0,-0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.85533625,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,487.4,59.557026,500.0,41.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.081775606,0.034246378,0.082798555,-0.05015946,0.15908931,0.0010197028,0.0010139842,0.0006827725,9.72255e-05,0.0057227327,0.08262966,0.033654157,0.084205225,-0.043491654,0.17411561,-0.00085406075,0.011660638,-0.0017464086,-0.071850106,0.035374243,0.5024838,0.12972277,0.48361728,0.21564463,0.9431275,0.00093102,0.012048291,0.0017464242,-0.03545478,0.07610502,0.00044946925,0.0021383904,4.6257068e-05,2.644422e-06,0.020277012,-0.0011429429,0.00017137402,-0.0011977697,-0.0013214032,-0.0007731997,0.5002852,0.12930284,0.48183757,0.21222882,0.9666173,0.0019610252,0.0019525831,0.0013172905,0.00017589035,0.0114454655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8248627,1.7975993,2.4477382,0.24747379,9.45024,1.1429429,0.17137401,1.1977696,0.7731997,1.3214031,3.1808054,0.5087561,3.313884,2.166702,3.7486832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,45469,999,96.91285037994385,80000,697,3000,770.6349610417509,28.89881103906566,3.0,3.0,454.69,126.14672,500.0,1.0,500.0,-0.06,0.23748685,0.0,-1.0,0.0,0.06,0.23748685,0.0,0.0,1.0,-0.008123175,0.06203704,0.0,-0.61729014,0.0,-0.0003538178,0.0021233493,0.0,-0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.85199755,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,487.41,59.55906,500.0,41.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.080949135,0.02108555,0.07659127,0.0403248,0.141707,0.000874153,0.00069813884,0.00059126236,0.00020752051,0.0031955284,0.08093464,0.022478854,0.07777898,0.011981622,0.14192006,1.44982605e-05,0.005829855,-0.0012240037,-0.01743142,0.028343182,0.4926974,0.10612834,0.47959113,0.24925622,0.78187764,-1.1555661e-05,0.005850108,0.001223596,-0.028352177,0.018163448,8.8615736e-05,0.00020485833,2.1548347e-05,3.600066e-06,0.0016815888,-0.00121502,4.4295397e-05,-0.0012208036,-0.0012754902,-0.0011069553,0.4921466,0.1074971,0.4767215,0.24808769,0.79101014,0.0016887006,0.0013753771,0.0011765342,0.00036147636,0.0064224736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.3495588,1.3463123,2.0225215,0.46638405,7.1968884,1.2150198,0.044295393,1.2208035,1.1069553,1.27549,3.3739154,0.14715895,3.3899167,3.0251403,3.5813804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,46770,1124,109.763418674469,90000,720,3375,778.1757017127716,29.181588814228935,3.0,3.0,467.7,98.43329,500.0,7.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.008420923,0.06253443,0.0,-0.61729014,0.0,-0.00033957802,0.0021291065,0.0,-0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0136567,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,484.97,66.02976,500.0,41.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.11186433,0.028541716,0.10554786,0.01161643,0.18494348,0.0015003439,0.00083683815,0.0012835355,0.0004403296,0.0066818744,0.111636594,0.030505918,0.10458213,0.0020095315,0.20484602,0.00022771386,0.010601474,-5.9124508e-05,-0.050405573,0.06530351,0.46104398,0.14110303,0.44546315,0.14977717,0.9735742,-0.00011838228,0.0110725425,5.2643347e-05,-0.06550306,0.06168213,0.00035734105,0.0018006216,5.2727362e-05,6.9506577e-06,0.020150261,-0.0013467871,2.5004018e-05,-0.001355254,-0.0013789093,-0.001273167,0.45927215,0.13951863,0.44512367,0.14692175,0.8889705,0.0028796867,0.0016287891,0.002427711,0.0008740048,0.013363749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1136832,1.0883489,1.7636276,0.44734037,6.0074787,1.346787,0.025004016,1.3552539,1.2731669,1.3789092,3.8463209,0.09505076,3.877768,3.5721543,3.9705787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,47618,1249,122.70595288276672,100000,740,3750,772.6462097035673,28.97423286388377,3.0,3.0,476.18,81.583,500.0,29.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.007882281,0.062287584,0.0,-0.61729014,0.0,-0.00032490637,0.0021113188,0.0,-0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.1445522,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,486.66,62.24488,500.0,41.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.11661824,0.037586223,0.11040173,0.05548166,0.19726229,0.0014256588,0.0010102025,0.0011624104,0.0002568911,0.0056090145,0.11639964,0.037996847,0.110036336,0.04529235,0.19950132,0.00021860334,0.007499521,-0.0011001165,-0.029134322,0.039413817,0.4192186,0.123734675,0.40815538,0.155495,0.88988394,-0.00019988557,0.007571822,0.0010995637,-0.039810833,0.029134322,0.00017888984,0.00054830045,3.1216267e-05,1.940536e-06,0.0038677934,-0.0013324243,1.8188715e-05,-0.001333103,-0.001369992,-0.0013049133,0.41782627,0.12132073,0.40848452,0.15481056,0.8842249,0.0027457213,0.0019439177,0.002246738,0.0005012824,0.011218029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8054798,1.6154394,2.503296,0.46279445,8.69073,1.3324244,0.018188717,1.333103,1.3049133,1.369992,3.7909338,0.069054335,3.7928238,3.6873908,3.9354615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
